ID	chromosome_start	chromosome_end	centromere_start	centormere_end	recombination_rate
chr1	0	249218991	121700000	125099999	1.14856E-08
chr2	249218992	492309988	341018992	345218991	1.10543E-08
chr3	492309989	690184516	580109989	586309988	1.12796E-08
chr4	690184517	881213161	738384517	741984516	1.12312E-08
chr5	881213162	1061928971	927313162	932613161	1.12809E-08
chr6	1061928972	1232980287	1120428972	1124528971	1.12229E-08
chr7	1232980288	1392107061	1291080288	1295080287	1.17646E-08
chr8	1392107062	1538408217	1435307062	1439307061	1.14785E-08
chr9	1538408218	1679518196	1580608218	1583908217	1.17807E-08
chr10	1679518197	1815021889	1717518197	1721118196	1.33651E-08
chr11	1815021890	1949967411	1866021890	1870821889	1.17193E-08
chr12	1949967412	2083746207	1983167412	1987767411	1.30502E-08
chr13	2083746208	2198853203	2100246208	2102646207	1.09149E-08
chr14	2198853204	2306141580	2214953204	2217053203	1.11973E-08
chr15	2306141581	2408647688	2323641581	2326641580	1.38358E-08
chr16	2408647689	2498811276	2443947689	2447047688	1.48346E-08
chr17	2498811277	2579856545	2521511277	2526211276	1.58249E-08
chr18	2579856546	2657871725	2595256546	2601356545	1.5076E-08
chr19	2657871726	2716968885	2682071726	2685971725	1.82201E-08
chr20	2716968886	2779918330	2742668886	2747368885	1.71783E-08
chr21	2779918331	2828018485	2790818331	2792918330	1.30452E-08
chr22	2828018486	2879248290	2841718486	2845418485	1.4445E-08

